                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.3308,                 3.9278,                 2.1798,                0.24317,                0.11111,                0.12601,                0.05556,                  1.899,                 6.1452,                 2.2876,                0.00024,                0.00024,                0.00024
                      2,                 1.8223,                 2.8294,                 2.0816,                0.35659,                0.55556,                0.31297,                 0.1721,                 1.4475,                 2.9909,                 2.1054,              0.0004901,              0.0004901,              0.0004901
                      3,                 1.5713,                   2.36,                 1.6794,                0.49529,                0.11111,                0.17337,                0.11194,                 2.1961,                 3.0557,                 2.4062,              0.0007299,              0.0007299,              0.0007299
                      4,                 1.9369,                 3.2772,                 2.1131,                0.00336,                0.44444,                0.00649,                0.00223,                 2.7481,                 4.5427,                  3.772,             0.00095941,             0.00095941,             0.00095941
                      5,                 1.9631,                 2.7404,                 2.0599,                0.00165,                0.11111,                0.00097,                0.00039,                 3.5262,                 12.223,                 4.1865,              0.0011786,              0.0011786,              0.0011786
                      6,                 1.8768,                  2.714,                 2.0368,                0.00974,                0.11111,                0.00996,                0.00429,                 1.8514,                 9.9073,                   2.19,              0.0013875,              0.0013875,              0.0013875
                      7,                 2.1167,                 2.9516,                 2.2806,                0.00054,                0.22222,                0.00026,                 0.0001,                 3.0122,                  428.8,                 4.5354,              0.0015862,              0.0015862,              0.0015862
                      8,                 2.0856,                 2.9463,                 2.2487,                0.00054,                0.22222,                0.00026,                 0.0001,                 4.1645,                  19516,                 8.5765,              0.0017228,              0.0017228,              0.0017228
                      9,                 2.1362,                 3.1467,                 2.3326,                0.00054,                0.22222,                0.00026,                 0.0001,                 3.6786,                   2415,                 7.4855,              0.0017228,              0.0017228,              0.0017228
                     10,                   2.01,                 2.7826,                 2.2551,                0.00292,                0.22222,                0.00141,                0.00066,                 2.7012,                 159.05,                 5.7284,              0.0016832,              0.0016832,              0.0016832
                     11,                 2.0698,                 3.2213,                 2.2414,                0.00111,                0.11111,                0.00021,                0.00015,                 2.8797,                  323.2,                 3.2702,              0.0016436,              0.0016436,              0.0016436
                     12,                 2.1926,                 3.1125,                 2.3698,                0.00029,                0.44444,                0.00024,                0.00013,                 3.6895,                 8864.4,                 29.802,               0.001604,               0.001604,               0.001604
                     13,                 2.0183,                 3.0561,                 2.2295,                 0.0002,                0.11111,                  9e-05,                  4e-05,                 4.4194,                 1708.5,                  7.417,              0.0015644,              0.0015644,              0.0015644
                     14,                 2.0378,                 3.0693,                 2.2382,                 0.0002,                0.11111,                  9e-05,                  4e-05,                 5.2961,                  27206,                 15.267,              0.0015248,              0.0015248,              0.0015248
                     15,                 1.9543,                 2.9992,                 2.1378,                 0.0002,                0.11111,                  9e-05,                  4e-05,                 5.1274,                 5197.2,                 23.913,              0.0014852,              0.0014852,              0.0014852
                     16,                 2.0154,                 2.9576,                 2.1626,                0.00484,                0.33333,                0.00361,                0.00116,                 2.5354,                 158.44,                  3.149,              0.0014456,              0.0014456,              0.0014456
                     17,                 2.0324,                 2.8874,                 2.1682,                0.02476,                0.11111,                   0.02,                0.00668,                 2.4768,                 10.845,                 2.9037,               0.001406,               0.001406,               0.001406
                     18,                 1.9587,                 2.8675,                 2.0757,                0.06084,                0.33333,                0.03652,                0.01115,                 1.9398,                 7.5356,                 2.4849,              0.0013664,              0.0013664,              0.0013664
                     19,                  1.845,                 2.6242,                 2.1069,                0.04429,                0.11111,                0.01919,                0.00601,                 2.5886,                 8.8922,                 3.0813,              0.0013268,              0.0013268,              0.0013268
                     20,                 1.8802,                 2.8311,                 2.0679,                0.07678,                0.11111,                0.02834,                0.01456,                 2.8167,                 9.3957,                 2.9147,              0.0012872,              0.0012872,              0.0012872
                     21,                 1.6952,                 2.4856,                 1.9597,                0.03183,                0.11111,                0.01757,                0.00988,                 2.1973,                 7.1403,                 2.5502,              0.0012476,              0.0012476,              0.0012476
                     22,                 1.9033,                 2.7801,                 2.1577,                0.08791,                0.22222,                0.03482,                0.01336,                  2.388,                 6.2582,                 2.9037,               0.001208,               0.001208,               0.001208
                     23,                  1.797,                 2.6262,                 1.9981,                0.10102,                0.22222,                0.08492,                0.04819,                 1.5113,                  3.802,                  1.817,              0.0011684,              0.0011684,              0.0011684
                     24,                  1.974,                 2.5428,                 2.2324,                0.03267,                0.11111,                0.03585,                0.01705,                 2.2714,                 5.2269,                 2.7284,              0.0011288,              0.0011288,              0.0011288
                     25,                 1.7539,                 2.4492,                 1.9063,                0.16504,                0.33333,                0.07163,                0.02639,                 2.3252,                 6.3125,                 3.1063,              0.0010892,              0.0010892,              0.0010892
                     26,                 1.7226,                 2.4906,                 1.9822,                0.20338,                0.22222,                0.07409,                  0.014,                 1.9126,                 5.8631,                 2.6578,              0.0010496,              0.0010496,              0.0010496
